Table 1
,歲入來源別-罰款及賠償收入(百萬元),歲出政事別-社區發展及環境保護支出(百萬元),歲出政事別結構比-社區發展及環境保護支出(％),,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,260.49,367.47,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,41.37,307.43,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,263.08,881.97,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,345.48,1177.66,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,113.83,718.29,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,39.14,752.61,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,7.84,182.85,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,20793.94,63365.69,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,20758.8,62496.43,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,3732.39,13218.78,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,3365.07,14828.84,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,2209.45,6445.6,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,2857.07,8455.61,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,882.53,3502.26,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,2450.55,7931.04,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,382.1,1148.42,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,506.98,659.1,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,416.33,945.88,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,907.07,294.29,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,329.44,473.01,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,482.59,312.02,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,236.44,204.93,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,593.78,485.13,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,259.11,209.07,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,308.18,346.32,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,35.08,380.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,355.75,859.09,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,327.4,1170.37,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,121.5,625.96,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,31.05,745.56,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,4.09,123.69,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,21363.02,67129.81,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,21322.43,66228.87,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,4002.02,14683.84,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,3519.07,14835.33,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,2359.46,5612.86,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,2977.83,9032.75,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,950.83,3361.95,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,2398.25,8239.47,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,388.34,1420.03,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,499.75,1083.96,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,390.7,560.6,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,809.01,315.51,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,311.98,726.05,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,401.57,362.07,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,279.07,107.47,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,601.86,686.15,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,268.11,184.79,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,324.78,1354.95,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,72.01,438.28,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,366.99,1062.27,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,261.53,1471.62,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,139.26,688.92,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,36.61,791.3,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,3.98,109.64,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,22122.51,68270.34,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,22065.49,67418.48,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,4105.25,14902.65,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,3665.02,14842.12,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,2468.34,6376.51,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,3074.43,8730.68,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,1107.16,3298.01,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,2652,7269.49,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,361.42,1660.51,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,482.82,1244.38,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
