city/county,per_capita_food_waste,year,,,,
臺南市,55942,2023,,,,
高雄市,58573,2023,,,,
宜蘭縣,6394,2023,,,,
新竹縣,6748,2023,,,,
苗栗縣,14086,2023,,,,
彰化縣,13160,2023,,,,
南投縣,5651,2023,,,,
雲林縣,9757,2023,,,,
嘉義縣,13216,2023,,,,
屏東縣,8145,2023,,,,
臺東縣,4745,2023,,,,
花蓮縣,5712,2023,,,,
澎湖縣,4547,2023,,,,
基隆市,3405,2023,,,,
新竹市,6088,2023,,,,
嘉義市,7791,2023,,,,
金門縣,4406,2023,,,,
連江縣,1039,2023,,,,
