年別,縣市,風力,太陽光電,其他(含水力)
109,新竹縣,11527,112404,0
109,苗栗縣,284100,160810,80000
109,台中市,132145,343093,1150875
109,彰化縣,265655,885981,725
109,南投縣,0,84487,267506
109,雲林縣,76332,666650,1358
109,嘉義市,0,21451,0
109,嘉義縣,0,478321,50504
109,台南市,0,959425,22886
109,高雄市,0,635491,7958
109,屏東縣,4500,595024,1112
109,宜蘭縣,0,60008,26675
109,花蓮縣,0,43780,244200
109,台東縣,0,35182,3780
109,澎湖縣,10200,15190,0
109,金門縣,4000,9789,0
109,連江縣,0,86,0
110,基隆市,0,2682,499
110,台北市,0,40515,260
110,新北市,13340,70907,110720
110,桃園市,100706,432796,135270
110,新竹市,12000,31065,0
110,新竹縣,11500,128246,0
110,苗栗縣,284100,232975,80325
110,台中市,118145,437190,1150875
110,彰化縣,396455,1048203,1155
110,南投縣,0,121276,267506
110,雲林縣,137132,754661,2261
110,嘉義市,0,26333,0
110,嘉義縣,0,645920,50504
110,台南市,0,1406405,22886
110,高雄市,0,773271,7564
110,屏東縣,4500,819791,1797
110,宜蘭縣,0,95289,30875
110,花蓮縣,0,61420,244300
110,台東縣,0,50305,3780
110,澎湖縣,10200,15879,0
110,金門縣,4000,10876,0
110,連江縣,0,145,0
111,基隆市,0,19134,2495
111,台北市,0,65175,260
111,新北市,13340,129453,110720
111,桃園市,100706,550640,168230
111,新竹市,12000,38844,0
111,新竹縣,11500,162845,0
111,苗栗縣,532100,293986,84338
111,台中市,118135,553645,1150875
111,彰化縣,552452,1264514,1455
111,南投縣,0,169645,250802
111,雲林縣,233332,984137,2261
111,嘉義市,0,38828,0
111,嘉義縣,0,828831,50504
111,台南市,0,1863712,2616
111,高雄市,0,949772,8088
111,屏東縣,4500,1013686,1788
111,宜蘭縣,0,127502,31325
111,花蓮縣,0,92921,244300
111,台東縣,0,65343,4279
111,澎湖縣,19200,18898,0
111,金門縣,4000,13047,0
111,連江縣,0,145,0
112,基隆市,0,22150,2495
112,台北市,0,75080,260
112,新北市,13340,159402,111720
112,桃園市,100650,699546,168230
112,新竹市,12000,46024,0
112,新竹縣,11500,186376,0
112,苗栗縣,648600,337752,84338
112,台中市,127135,675723,1150875
112,彰化縣,1305885,1642308,3111
112,南投縣,0,223189,254312
112,雲林縣,414722,1295567,4252
112,嘉義市,0,44736,0
112,嘉義縣,0,1000583,50911
112,台南市,0,2438393,2845
112,高雄市,0,1069483,8088
112,屏東縣,4500,1254961,2223
112,宜蘭縣,0,170802,32264
112,花蓮縣,0,176028,244300
112,台東縣,0,74078,4409
112,澎湖縣,19200,59043,0
112,金門縣,4000,21051,0
112,連江縣,0,145,0
113,基隆市,0,26714,2495
113,台北市,0,80242,260
113,新北市,13340,184135,111920
113,桃園市,100650,808810,172768
113,新竹市,12000,47235,0
113,新竹縣,11500,208976,0
113,苗栗縣,648600,377151,84338
113,台中市,127165,812137,1151792
113,彰化縣,2218489,1853252,3411
113,南投縣,0,268429,267300
113,雲林縣,714913,1568306,5502
113,嘉義市,0,50205,0
113,嘉義縣,0,1100858,51051
113,台南市,0,2823798,3209
113,高雄市,0,1405406,8088
113,屏東縣,4500,1387947,2943
113,宜蘭縣,0,202861,32544
113,花蓮縣,0,200850,244300
113,台東縣,0,87100,2429
113,澎湖縣,19200,73141,0
113,金門縣,4000,26213,300
113,連江縣,0,145,0
11401,基隆市,0,26714,2495
11401,台北市,0,80586,260
11401,新北市,13340,185801,111920
11401,桃園市,100650,813482,172768
11401,新竹市,12000,47246,0
11401,新竹縣,11500,209405,0
11401,苗栗縣,648600,379899,84338
11401,台中市,127165,829178,1151792
11401,彰化縣,2218489,1993983,3411
11401,南投縣,0,271431,267300
11401,雲林縣,743513,1579306,5602
11401,嘉義市,0,50282,0
11401,嘉義縣,0,1102476,50796
11401,台南市,0,2830685,3209
11401,高雄市,0,1397318,8088
11401,屏東縣,4500,1395918,2999
11401,宜蘭縣,0,203958,32544
11401,花蓮縣,0,201553,244300
11401,台東縣,0,96582,2429
11401,澎湖縣,19200,73141,0
11401,金門縣,4000,27518,300
11401,連江縣,0,145,0
