Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,歲出政事別結構比-社區發展及環境保護支出(％),year,環保罰鍰佔比(%),,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,4.51,2017,6.724,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,0.73,2017,9.599,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,2.27,2017,1.724,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,1.14,2017,7.960,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,0.92,2017,6.117,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,1.47,2017,6.976,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,1.14,2017,3.098,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,1.99,2017,3.163,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,4.7,2017,4.695,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,5.2,2017,3.103,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,6.41,2017,5.305,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,5.29,2017,4.587,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,5.99,2017,1.839,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,3.74,2017,2.372,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,9.38,2018,4.541,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,8.88,2018,2.358,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,5.38,2018,6.360,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,6.88,2018,4.068,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,4.2,2018,8.348,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,6.63,2018,7.129,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,6.64,2018,9.634,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,5.28,2018,7.371,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2.57,2018,8.568,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,0.78,2018,10.816,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,2.92,2018,2.535,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,1.27,2018,5.047,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,0.4,2018,6.310,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,1.76,2018,7.528,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,0.9,2018,4.380,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,6.4,2018,3.238,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,4.73,2018,19.379,,,,,,,,,,,,,,,,,,,,,,,,,
