year,縣市,風力,太陽光電,其他(含水力),家庭戶數,所得收入,total_income,垃圾焚化量(公噸),垃圾衛生掩埋量(公噸),執行機關資源回收量(公噸),一般廢棄物產生量(公噸),一般廢棄物回收率(%),地方環保單位歲出決算數(千元),t_capacity_of_renewable_e,戶籍登記人口數(人),售電統計（度）
2015,臺東縣,0,7980,2780,82246,746981,61436199326,21.584,19.395,30.098,77.094,"46,85",346.956,10760,222.452,919098341
2015,臺灣地區,NA,NA,NA,NA,NA,NA,3.129.119,90.200,3.422.171,-,-,40.049.553,0,23.346.728,NA
2015,花蓮縣,0,562,244200,124617,924706,115234087602,43.592,14.143,45.694,110.413,"47,70",495.511,244762,331.945,2494490847
2015,苗栗縣,113700,3714,80000,183736,1008241,185250168376,89.614,12,82.011,185.419,"51,66",867.609,197414,563.912,6980845365
2015,連江縣,0,12,0,NA,NA,NA,2.112,-,3.045,6.951,"69,62",49.655,12,12.547,62765336
2015,金門縣,4000,879,0,NA,NA,NA,11.824,1.456,11.554,26.552,"49,71",304.453,4879,132.799,279882919
2015,雲林縣,74000,132244,0,238079,876670,208716716930,72.945,30.339,78.755,194.493,"46,09",999.070,206244,699.633,5418198413
2015,高雄市,0,89656,7958,1069177,1145895,1225164578415,389.254,8.343,411.365,897.707,"55,71",4.361.161,97614,2.778.918,29088213862
2016,南投縣,0,18880,267481,177089,916199,162248764711,74.422,382,83.335,187.571,"52,53",679.534,286361,505.163,2761404205
2016,嘉義市,0,5191,0,98602,1154411,113827233422,37.004,-,47.837,93.057,"60,24",692.905,5191,269.874,1201509853
2016,嘉義縣,14,87284,50000,182132,896217,163229794644,77.709,-,92.934,183.548,"57,66",604.077,137298,515.320,2707505186
2016,基隆市,0,52,0,151064,1074314,162290170096,64.829,-,73.229,149.929,"56,76",855.233,52,372.100,1484713104
2016,宜蘭縣,0,4487,26375,165698,1085846,179922510508,75.524,74,75.765,165.525,"54,33",967.621,30862,457.538,3349556688
2016,屏東縣,4500,121094,120,285022,911258,259728577676,153.709,19,134.135,299.360,"48,57",1.246.751,125714,835.792,4500899609
2016,彰化縣,193109,105037,195,383007,994353,380844159471,201.872,157,181.448,401.503,"48,67",1.391.787,298341,1.287.146,10508323661
2016,新北市,9960,9984,110720,1515318,1223867,1854547694706,341.979,-,525.890,990.138,"65,46",8.308.960,130664,3.979.208,20822425913
2016,新竹市,12000,1632,0,158443,1537317,243577117431,55.496,3.759,80.531,152.053,"61,03",769.613,13632,437.337,10285624687
2016,新竹縣,11500,7279,0,185128,1365150,252727489200,70.197,31,81.101,165.179,"55,07",875.416,18779,547.481,9311191475
2016,桃園市,100609,16828,130000,757890,1317790,998739863100,360.060,602,378.295,792.116,"51,03",3.884.043,247437,2.147.763,28440496287
2016,澎湖縣,10200,8183,0,38571,1069545,41253420195,16.059,338,17.504,37.920,"56,76",286.896,18383,103.263,407407969
2016,總計,NA,NA,NA,8458223,1194572,10103956365556,2.993.435,77.940,3.701.670,7.461.342,"58,00",41.505.270,0,23.539.816,NA
2016,臺中市,129404,59794,1150275,933760,1140325,1064789872000,365.297,427,406.782,815.996,"55,12",4.386.118,1339473,2.767.239,27349318781
2016,臺北市,0,468,0,1045175,1568945,1639822090375,244.574,-,470.481,783.268,"68,78",6.618.851,468,2.695.704,16531449703
2016,臺南市,0,152950,20270,674233,1063495,717043424335,239.640,1.310,326.283,639.667,"62,33",2.617.508,173220,1.886.033,26472702431
2016,臺東縣,0,9172,2780,82460,797395,65753191700,12.787,25.602,42.884,88.339,"56,37",460.650,11952,220.802,941495231
2016,臺灣地區,NA,NA,NA,NA,NA,NA,2.978.325,76.842,3.684.268,-,-,41.085.322,0,23.392.107,NA
2016,花蓮縣,0,638,244200,125005,948501,118567367505,41.933,10.830,51.481,112.200,"50,78",508.160,244838,330.911,2482256975
2016,苗栗縣,128400,5380,80000,184739,1166196,215441882844,89.810,19,88.922,191.217,"53,02",938.904,213780,559.189,7141648317
2016,連江縣,0,12,0,NA,NA,NA,2.108,-,2.741,6.035,"65,01",60.908,12,12.595,66620495
2016,金門縣,4000,4157,0,NA,NA,NA,13.002,1.098,14.663,30.972,"54,24",359.040,8157,135.114,293147544
2016,雲林縣,74000,199523,0,238767,896101,213959347467,65.766,24.853,86.214,198.745,"49,76",883.226,273523,694.873,5505651796
2016,高雄市,0,112642,7958,1076120,1166824,1255642642880,389.658,8.438,439.217,926.848,"57,05",4.109.069,120600,2.779.371,29965919976
2017,南投縣,0,25803,267481,177729,894368,158955130272,72.435,-,82.411,179.696,"51,52",769.860,293284,501.051,2782741283
2017,嘉義市,0,8353,0,99226,1090947,108250307022,43.874,-,48.732,99.289,"55,81",576.157,8353,269.398,1193241910
2017,嘉義縣,0,119977,50130,182646,901022,164568064212,71.384,-,99.245,184.064,"61,22",621.096,170107,511.182,2790218438
2017,基隆市,0,65,0,152390,1096361,167074452790,65.397,-,86.505,163.651,"60,04",810.532,65,371.458,1483651965
2017,宜蘭縣,0,10690,26375,167742,1098807,184316083794,72.720,-,85.358,165.848,"56,15",902.894,37065,456.607,3321167343
2017,屏東縣,4500,152558,120,286320,958999,274580593680,140.074,5.506,151.041,307.994,"52,68",1.307.224,157178,829.939,4624404769
2017,彰化縣,181609,185019,195,385572,970491,374194155852,196.124,7,207.006,418.867,"53,18",1.382.055,366823,1.282.458,10924310201
2017,新北市,9960,13586,110720,1533928,1265798,1941642994544,434.229,1.742,609.218,1.158.662,"62,37",8.380.349,134266,3.986.689,21056065049
2017,新竹市,12000,3182,0,161811,1572296,254414788056,58.818,2.592,86.845,162.587,"62,23",782.543,15182,441.132,10089571321
2017,新竹縣,11500,13953,0,189271,1616327,305923827617,57.562,346,90.785,176.428,"55,88",859.140,25453,552.169,9719207894
2017,桃園市,100618,54443,130000,779743,1337361,1042797878223,367.740,631,488.488,890.147,"57,40",4.343.411,285061,2.188.017,28990540674
2017,澎湖縣,10200,11243,0,39321,857821,33730379541,15.585,186,19.635,39.771,"60,35",278.376,21443,104.073,412984803
2017,總計,NA,NA,NA,8559187,1231112,10537317825944,2.969.654,70.382,4.169.539,7.870.896,"60,22",45.195.156,0,23.571.227,NA
2017,臺中市,134004,74519,1150275,951383,1245350,1184804819050,347.813,0,460.695,863.140,"58,39",4.757.591,1358798,2.787.070,29320857695
2017,臺北市,0,6029,0,1049354,1648122,1729463413188,205.932,-,482.330,755.026,"72,73",9.003.541,6029,2.683.257,16391873642
2017,臺南市,0,224340,20270,680737,1079199,734650689663,246.958,1.105,349.952,671.386,"63,05",2.885.513,244610,1.886.522,26505507147
2017,臺東縣,0,12025,2780,82755,889108,73578132540,14.881,20.696,47.273,90.794,"60,60",397.990,14805,219.540,936269832
2017,臺灣地區,NA,NA,NA,NA,NA,NA,2.959.495,69.311,4.149.316,-,-,44.776.437,0,23.420.891,NA
2017,花蓮縣,0,2284,244200,125621,910090,114326415890,34.193,8.604,59.876,116.202,"56,63",520.641,246484,329.237,2480881781
2017,苗栗縣,147900,13497,80000,186749,1029485,192255294265,88.588,78,109.338,210.528,"57,86",919.178,241397,553.807,7237807494
2017,連江縣,0,12,0,NA,NA,NA,1.510,-,3.379,6.743,"69,57",50.461,12,12.880,71443544
2017,金門縣,4000,5386,0,NA,NA,NA,8.649,1.071,16.844,31.282,"63,90",368.258,9386,137.456,293848090
2017,雲林縣,74029,275702,200,239882,868663,208376617766,42.668,20.577,85.951,189.601,"54,10",1.034.435,349931,690.373,5760091243
2017,高雄市,0,170636,7958,1087007,1186204,1289412051428,382.519,7.239,498.632,969.900,"59,81",4.243.911,178594,2.776.912,30826799839
2018,南投縣,0,44100,267481,178155,967369,172341624195,68.012,7,84.650,190.689,"49,00",747.499,311581,497.031,2823013718
2018,嘉義市,0,12003,0,99737,1152499,114946792763,66.399,-,68.790,145.016,"54,21",547.179,12003,268.622,1173345557
2018,嘉義縣,0,187505,50130,182905,940780,172073365900,72.046,-,107.809,195.499,"63,15",617.672,237635,507.068,2860678559
2018,基隆市,0,470,0,153191,1070748,164028956868,92.687,-,99.792,204.233,"54,62",999.230,470,370.155,1456997388
2018,宜蘭縣,0,18516,26375,168959,1069997,180785623123,81.545,-,101.266,194.797,"58,14",999.635,44891,455.221,3365314938
2018,屏東縣,4500,230041,185,287294,985681,283180237214,196.571,271,175.412,384.301,"48,81",1.342.013,234726,825.406,4611855849
2018,彰化縣,181609,306192,195,388042,997162,386940736804,283.762,25,275.369,576.392,"50,76",1.407.130,487996,1.277.824,11169672336
