year,縣市,風力,太陽光電,其他(含水力),家庭戶數,所得收入,total_income,垃圾焚化量(公噸),垃圾衛生掩埋量(公噸),執行機關資源回收量(公噸),一般廢棄物產生量(公噸),一般廢棄物回收率(%),地方環保單位歲出決算數(千元),t_capacity_of_renewable_e,戶籍登記人口數(人),售電統計（度）
2022,總計,NA,NA,NA,8968428,1340848,12025298746944,4.430.942,200.080,6.570.024,11.238.654,"57,29",52.336.281,0,23.264.640,NA
2022,臺中市,118135,553645,1150875,1022349,1338826,1368747422274,642.231,-,931.875,1.625.470,"61,09",5.669.633,1822655,2.814.459,34592752801
2022,臺北市,0,65175,260,1041655,1752411,1825407680205,208.756,-,508.105,768.277,"72,83",7.208.682,65435,2.480.681,15762000028
2022,臺南市,0,1863712,2616,711543,1143699,813791017557,395.534,-,591.184,1.044.655,"62,14",3.316.336,1866328,1.852.997,32274889786
2022,臺東縣,0,65343,4279,84072,916928,77087970816,14.092,1.769,59.343,103.285,"61,91",902.387,69622,212.551,1035319581
2022,臺灣地區,NA,NA,NA,NA,NA,NA,4.422.068,199.133,6.550.918,-,-,51.677.569,0,23.109.362,NA
2022,花蓮縣,0,92921,244300,127840,1010041,129123641440,13.463,18.146,82.747,151.710,"58,12",843.643,337221,318.892,2583123577
2022,苗栗縣,532100,293986,84338,195947,1273250,249489517750,111.100,5.084,125.511,256.417,"54,69",1.072.116,910424,535.132,7745601620
2022,連江縣,0,145,0,NA,NA,NA,2.627,-,2.434,6.693,"58,96",106.486,145,13.983,81669891
2022,金門縣,4000,13047,0,NA,NA,NA,6.247,947,16.672,28.892,"73,70",552.226,17047,141.295,311577424
2022,雲林縣,233332,984137,2261,244767,1016913,248906744271,98.517,25.655,140.682,283.298,"53,46",1.416.785,1219730,664.092,6523300580
2022,高雄市,0,949772,8088,1129734,1263068,1426930863912,594.604,-,902.038,1.538.597,"61,35",4.672.428,957860,2.728.137,32353616259
2023,南投縣,0,223189,254312,180196,1069123,192651688108,52.795,11,129.133,232.680,"57,93",1.034.511,477501,477.094,2875139244
2023,嘉義市,0,44736,0,102932,1348030,138755423960,74.220,-,88.508,170.519,"56,47",1.069.871,44736,263.584,1214749887
2023,嘉義縣,0,1000583,50911,185790,936713,174031908270,132.653,-,122.477,282.058,"48,11",1.093.744,1051494,484.560,3237309693
2023,基隆市,0,22150,2495,158167,1136337,179731014279,100.921,-,116.591,220.917,"54,32",1.358.853,24645,362.255,1515481029
2023,宜蘭縣,0,170802,32264,177238,1114997,197619838286,110.015,-,112.882,229.291,"52,02",1.098.559,203066,449.890,3616898686
2023,屏東縣,4500,1254961,2223,296396,1081286,320488845256,158.401,3,205.206,422.449,"50,50",1.925.285,1261684,794.997,5046507156
2023,彰化縣,1305885,1642308,3111,404247,1164937,470922287439,277.943,0,351.497,642.600,"56,75",1.823.448,2951304,1.239.048,11153478835
2023,新北市,13340,159402,111720,1655751,1440893,2385760025643,674.677,6.293,1.083.185,1.868.648,"63,56",9.481.893,284462,4.041.120,21850735027
2023,新竹市,12000,46024,0,177461,1851383,328548278563,120.100,4.312,143.941,274.441,"54,67",1.046.760,58024,456.475,9391082355
2023,新竹縣,11500,186376,0,218361,1846263,403151834943,44.595,546,163.398,277.480,"61,32",1.135.048,197876,589.289,11818876605
2023,桃園市,100650,699546,168230,891027,1490814,1328355525978,458.328,94.323,732.760,1.288.007,"60,14",6.664.286,968426,2.317.445,28833853984
2023,澎湖縣,19200,59043,0,42807,1060432,45393912624,11.267,3,24.039,53.195,"53,74",543.846,78243,107.739,477448747
2023,總計,NA,NA,NA,9119999,1375097,12540883264903,4.419.662,162.352,6.842.897,11.579.543,"58,31",54.972.782,0,23.420.442,NA
2023,臺中市,127135,675723,1150875,1047164,1346521,1410028316444,621.792,-,949.329,1.685.646,"59,59",5.537.468,1953733,2.845.909,34023783877
2023,臺北市,0,75080,260,1059757,1751823,1856506687011,294.274,-,647.708,989.727,"70,27",7.671.900,75340,2.511.886,15985484904
2023,臺南市,0,2438393,2845,721550,1177168,849385570400,373.078,5.988,603.509,1.038.517,"63,50",3.252.770,2441238,1.859.946,33225856909
2023,臺東縣,0,74078,4409,84425,930467,78554676475,59.574,15,59.438,104.459,"61,44",909.450,78487,211.544,1037869543
2023,臺灣地區,NA,NA,NA,NA,NA,NA,4.411.151,161.664,6.823.965,-,-,54.271.011,0,23.262.254,NA
2023,花蓮縣,0,176028,244300,128496,1018629,130889751984,9.003,20.813,85.699,155.525,"58,78",961.915,420328,317.489,2499199411
2023,苗栗縣,648600,337752,84338,198022,1341195,265586116290,118.104,2.159,103.274,237.548,"49,40",1.272.118,1070690,534.575,7725848431
2023,連江縣,0,145,0,NA,NA,NA,2.666,77,2.273,6.092,"54,38",155.343,145,14.039,82410382
2023,金門縣,4000,21051,0,NA,NA,NA,5.846,611,16.658,28.182,"74,74",546.428,25051,144.149,316738746
2023,雲林縣,414722,1295567,4252,246207,1087755,267812895285,85.385,27.198,152.891,299.640,"54,28",1.426.635,1714541,659.468,5855337730
2023,高雄市,0,1069483,8088,1144005,1325786,1516705812930,634.025,-,948.500,1.641.098,"61,37",4.962.651,1077571,2.737.941,31254330360
