year,city/county,Household_income,General_waste_recycling_rate,Budget_structure_ratio_for_environmental,Proportion_of_environmental_fines,number_of_people,per_capita_electricity_usage,per_capita_incinerated_waste_kg,per_capita_landfilled_waste_kg,per_capita_resource_recovery_by_local_authorities_kg,per_capita_generation_of_general_waste_kg,per_capita_t_capacity_of_renewable_energy,Vancancy_rate,per_capita_food_waste_kg
2016,雲林縣,896101,49.76,0.78,6.255,694873,7923.2489908227835,94.6446329041422,35.76624793307554,124.07159293856574,286.01629362487824,0.39363020292916834,12.14,18.24074327251167
2016,高雄市,1166824,57.05,7.27,6.077,2779371,10781.547327075083,140.1964689132901,3.035938706995216,158.02748175756312,333.4740126453072,0.043391112593460894,9.94,32.21448306109548
2017,南投縣,894368,51.52,2.27,1.724,501051,5553.808460615785,144.56612201153177,NA,164.47627087861315,358.6381426242039,0.585337620322083,11.31,20.2873559777348
2017,嘉義市,1090947,55.81,5.29,4.587,269398,4429.29015805611,162.8594124677986,NA,180.89221152347085,368.5587866279631,0.031006169310833786,11.87,24.807162636693665
2017,嘉義縣,901022,61.22,0.92,6.117,511182,5458.3659792402705,139.6449796745582,NA,194.1480725064654,360.0752765159962,0.3327718894640265,11.7,26.28222433497267
2017,基隆市,1096361,60.04,5.2,3.103,371458,3994.131139994293,176.05489718891505,NA,232.87962569119526,440.56393993398984,1.7498613571386267e-4,11.64,31.62672495948398
2017,宜蘭縣,1098807,56.15,5.87,4.391,456607,7273.579561855162,159.26168455586534,NA,186.93975344223807,363.2182599040313,0.08117483963233152,15.25,17.016821905927856
2017,屏東縣,958999,52.68,1.47,6.976,829939,5571.981517918787,168.7762594600326,6.6342225151487035,181.99048363795413,371.1043823702706,0.18938500299419597,9.73,13.497377518106752
2017,彰化縣,970491,53.18,0.73,9.599,1282458,8518.259624096852,152.92820505622794,0.00545826841892678,161.41347318976528,326.6126454043719,0.28603119946228256,9.97,12.264729137328473
2017,新北市,1265798,62.37,8.88,5.214,3986689,5281.592080295202,108.91970755682222,0.4369540739194856,152.8130235390822,290.6326528103898,0.0336785738742099,7.64,28.462967640565893
2017,新竹市,1572296,62.23,6.41,5.305,441132,22872.000491916253,133.3342400914012,5.87579227986181,196.86851101257673,368.5676849559769,0.03441600246638195,9.45,32.48687467696744
2017,新竹縣,1616327,55.88,3.41,6.938,552169,17601.871698700943,104.24706928494717,0.6266197486639055,164.41524243483425,319.518118547039,0.04609639440098955,9.8,14.120676821770147
2017,桃園市,1337361,57.4,6.78,7.341,2188017,13249.68712491722,168.0699921435711,0.28838898418065306,223.25603503080643,406.82819191989825,0.13028280858878152,10.34,10.265002511406447
2017,澎湖縣,857821,60.35,4.7,4.695,104073,3968.2223343230235,149.75065578968608,1.7872070565852816,188.66564815081722,382.1452249863077,0.2060380694320333,8.57,41.9417139892191
2017,臺中市,1245350,58.39,6.83,3.776,2787070,10520.316208419596,124.79521504662603,0,165.29724764717068,309.69441025880224,0.4875363733239567,9.13,15.53889927414812
2017,臺北市,1648122,72.73,9.14,2.556,2683257,6108.946568293682,76.747027958932,NA,179.7554240983998,281.3841536610172,0.002246896216053848,6.22,24.88170160368537
2017,臺南市,1079199,63.05,4.69,8.033,1886522,14049.932705263973,130.90650413830318,0.5857339591056983,185.501149734803,355.8855926408491,0.12966188573470122,9.32,38.89273488461836
2017,臺東縣,889108,60.6,1.14,3.098,219540,4264.689040721509,67.78263642160883,94.26983693176642,215.32750296073607,413.5647262457867,0.06743645804864717,13.37,35.310194042088
2017,花蓮縣,910090,56.63,1.99,3.163,329237,7535.245980858774,103.85527750526217,26.133150283838084,181.86291334206058,352.94332046519685,0.7486521867226344,13.05,17.993117419974062
2017,苗栗縣,1029485,57.86,4.51,6.724,553807,13069.187449779436,159.96186397066126,0.14084329017148572,197.4297905226911,380.14687427208395,0.4358865091990531,10.97,22.509646862535142
2017,連江縣,NA,69.57,3.74,2.372,12880,5546.85900621118,117.23602484472049,NA,262.3447204968944,523.5248447204968,9.316770186335404e-4,17.41,101.86335403726709
2017,金門縣,NA,63.9,5.99,1.839,137456,2137.7611017343734,62.92195320684438,7.791584216040041,122.54103131183797,227.5782795949249,0.06828366895588406,17.66,22.887323943661972
